def_sys,X-squared,p.value,A,B1,B21,B22,C,E1,E2
Zorya II,14969.9284164541,0.000499750124937531,0.458535165148978,0.126943927870131,0,0.0464843089496199,0.00951612138513404,4.62385056682496,10.2518602066645
Druantia III,9333.22398869072,0.000499750124937531,0.704525502694884,0.389133108161053,0.016793825896445,0.274495534212448,0.00768968632290432,4.86518498802236,6.91600699211339
Retron I-C,13994.9459200531,0.000499750124937531,0.185388244168763,0.340561889616539,9.04348785952652,0.0997655223625794,0.020423683653823,0.116203717340717,0
AbiE,8028.82890691329,0.000499750124937531,0.165624677306016,0.901612804384737,4.7718456725756,0.391639418257528,1.82017233356932,1.80509481279423,0.00826149522556633
CRISPR I-F,1893.77735526029,0.000499750124937531,0,0.978310534382549,0,5.11611963629576,0,0.0345840273516262,0
Thoeris I,5972.95159725154,0.000499750124937531,0.376194892489692,0.175556614311846,0.270791433016927,6.16090252365114,0.0437619058548117,0.033198687200202,0
Septu I,1703.83399191912,0.000499750124937531,0.494286146335141,0.969496925964688,0.149935041624643,3.17187997540435,0.0955177898283009,2.25537264085962,0
qatABCD,2495.11020130288,0.000499750124937531,0.72748781537531,0.409426009503549,0.237912533532971,4.63040256238515,0.0348599113304996,0.495852187028658,0.042483150448393
BREX I,784.321334761403,0.000499750124937531,0.678657508099778,1.21502975781306,1.36957893306414,0.36683423351527,3.53895316588918,1.12634934292866,0
PsyrTA,5636.94447165472,0.000499750124937531,0.0155622324933103,0.0332492386528369,3.22177086639162,1.66581729229156,0,0.139165711262016,7.81225010232031
RM IV,1398.51455051473,0.000499750124937531,1.22162387482391,0.88881890692096,0.787866137362872,1.6031299573448,0.429327329017731,1.01780185758514,0.0242228489398732
RM IIG,10256.2619931448,0.000499750124937531,0.89555867017,0.44576851487474,0.101256373138482,0.203697000834253,0.320981869806017,1.49348805629282,7.86406355781848
