phylogroup,def_num,frequency
B1,5,1348
B1,6,1285
B1,4,1242
A,6,1221
A,5,1122
B1,7,1094
A,7,1002
E2,6,899
A,4,785
B1,8,725
A,8,689
B1,3,597
A,3,565
B22,6,558
unassigned,7,541
B22,7,539
unassigned,8,510
unassigned,6,499
B1,9,488
B22,5,478
unassigned,9,444
A,9,442
B21,8,411
B22,4,393
unassigned,5,393
B22,8,362
B21,9,359
unassigned,10,308
B1,10,307
B21,7,300
E2,7,276
B1,2,267
C,5,262
A,10,252
unassigned,4,241
C,4,240
B22,9,225
C,6,216
B21,10,213
B21,6,207
unassigned,11,207
E1,6,196
E1,4,189
A,2,178
B1,11,165
E1,5,154
A,11,153
C,3,152
B21,5,145
B22,3,140
B22,10,136
B21,11,132
C,7,127
unassigned,3,119
unassigned,12,108
B1,12,106
E1,8,106
E1,7,102
B21,4,80
A,12,77
E2,9,73
B22,2,69
B21,12,68
C,8,68
E1,9,65
E2,5,60
B21,3,56
E2,8,55
A,1,47
B22,11,46
B1,13,44
E1,10,42
A,13,42
unassigned,13,39
E1,3,39
B21,13,34
unassigned,2,33
B21,2,28
E1,11,28
B1,14,27
B22,12,26
C,2,25
C,9,24
E1,12,23
unassigned,14,22
B1,1,18
A,14,17
E1,13,16
E2,4,13
B21,14,13
unassigned,15,12
unassigned,1,11
B1,16,10
B1,15,9
A,16,9
A,15,9
B21,1,9
B22,1,9
E1,2,7
unassigned,16,7
E1,14,7
E1,15,6
C,10,6
B22,13,4
B1,17,3
E1,1,2
E1,17,2
E2,10,2
C,11,2
A,17,2
E2,3,1
A,18,1
E2,11,1
B1,18,1
B1,19,1
B1,20,1
B22,14,1
E2,1,1
E1,18,1
E1,16,1
unassigned,18,1
