defense_system,unassigned,E2,E1,C,B22,B21,B1,A
RM I,0.17111706197398624,0.1546031746031746,0.11712962962962963,0.1576592082616179,0.15707193408682793,0.2485828006271861,0.12453187460551231,0.15304166363349592
RM II,0.17100229533282327,0.18592592592592594,0.1884259259259259,0.3015490533562823,0.19663040033801626,0.22880231576408153,0.214580265095729,0.2009900269345563
CRISPR I-E,0.1103672532517215,0.1457142857142857,0.12268518518518519,0.1891566265060241,0.002482306961022499,0.00042214449402967074,0.14283610351357037,0.11208172575283298
RM IV,0.08351185921958684,0.0019047619047619048,0.06435185185185185,0.049225473321858865,0.1255413541776698,0.06615607285007839,0.0664843256890385,0.09684307587779961
AbiE,0.05187452180566182,0.00021164021164021165,0.05169753086419753,0.06368330464716007,0.011143973803739306,0.1109033892172235,0.026341258152745635,0.004756011744437165
DRT III,0.0369548584544759,,0.008179012345679013,0.00017211703958691912,0.001267561001373191,0.001688577976118683,0.005428150641699979,0.004173642959404042
Septu I,0.035615914307574596,,0.02638888888888889,0.001549053356282272,0.038766240625330094,0.001507658907248824,0.013864927414264675,0.00606634151076169
Druantia III,0.028423871461361896,0.11714285714285715,0.08580246913580247,0.00017211703958691912,0.0050174289637688815,0.00024122542515981184,0.007342730906795708,0.013224624493460483
Gabija,0.028232593726090282,0.00021164021164021165,0.019753086419753086,0.002753872633390706,0.03385444174500898,0.0406464841394283,0.03010730065221965,0.03045303438402368
CBASS I,0.022379495026778884,0.00031746031746031746,0.013425925925925926,0.030292598967297763,0.05138903559733812,0.05065733928356049,0.023690300862613086,0.03215161000703696
Kiwa,0.02050497322111706,0.0010582010582010583,0.006481481481481481,0.0018932874354561102,0.004964613922044998,0.005427572066095766,0.013486219229960026,0.00987600397952003
RM IIG,0.017865340474368784,0.14402116402116402,0.029166666666666667,0.007917383820998278,0.004964613922044998,0.001567965263538777,0.009825373448348412,0.01902404697774866
RM III,0.016258607498087222,0.00010582010582010582,0.021296296296296296,0.008777969018932874,0.03918876095912116,0.005548184778675673,0.018956448558804965,0.027225740700298463
tmn,0.014651874521805662,,0.006944444444444444,0.00034423407917383823,0.022868913066441322,0.02056446749487396,0.01249737008205344,0.00973041178326175
Zorya II,0.014460596786534047,0.1403174603174603,0.06589506172839506,0.00017211703958691912,0.0006865955424104785,,0.0019356196086682096,0.00689136395622528
Dnd_ABCDE,0.01342769701606733,0.0016931216931216932,0.010956790123456791,0.002925989672977625,0.0020069715855075524,0.0010252080569292004,0.012181779928466231,0.008104632258377618
Dnd_FGH,0.01315990818668707,0.0016931216931216932,0.010339506172839507,0.002925989672977625,0.0019013415020597867,0.001447352550958871,0.01173995371344414,0.008031836160248478
ietAS,0.013045141545524101,,0.007561728395061728,0.0070567986230636835,0.0071300306327242,0.0017488843324086358,0.015169366715758468,0.017276940622649294
dXTPase,0.009946442234123947,0.0015873015873015873,0.013580246913580247,0.03098106712564544,0.027358191612971376,0.002050416113858401,0.013612455291394909,0.011380456674188931
AbiD,0.007153787299158378,0.0014814814814814814,0.004012345679012346,0.0117039586919105,0.003908313087567339,0.0012061271257990593,0.007321691563223228,0.006867098590182233
BstA,0.00692425401683244,0.0017989417989417989,0.008641975308641974,0.019449225473321858,0.007235660716171966,0.0026534796767579303,0.01020408163265306,0.0026691902647351436
Mokosh II,0.006159143075745983,0.00021164021164021165,0.0023148148148148147,,0.022235132565754726,0.002894705101917742,0.005175678518830213,0.002135352211788115
PifA,0.006082631981637337,0.004867724867724868,0.008333333333333333,0.014285714285714285,0.0038554980458434564,0.005306959353515861,0.010982537344834842,0.00890538933779816
Thoeris I,0.0054705432287681715,,0.00030864197530864197,0.0005163511187607573,0.05962818210626386,0.002050416113858401,0.0017462655165158846,0.003712601004586154
darTG,0.004896710022953328,0.008253968253968255,0.004783950617283951,0.008089500860585198,0.004066758212738988,0.0005427572066095766,0.008899642331159268,0.0042464390575331825
Shedu,0.004667176740627391,,0.0021604938271604936,0.0008605851979345956,0.0005281504172388297,0.0006030635628995297,0.0023984851672627814,0.0022809444080463953
AVAST IV,0.004628921193573068,,0.0006172839506172839,,0.0011091158762015422,0.013207092027499699,0.0022091310751104565,0.012909174734900875
BREX I,0.004552410099464423,,0.011265432098765432,0.04526678141135972,0.0038026830041195735,0.011216982269931251,0.013002314327792973,0.007158282982698794
qatABCD,0.0038638102524866107,0.00031746031746031746,0.004012345679012346,0.00034423407917383823,0.037340234498785256,0.001507658907248824,0.0034083736587418472,0.005969280046589503
PrrC,0.0035577658760520274,0.00010582010582010582,0.0030864197530864196,0.0010327022375215145,0.0030632724199852117,0.003196236883367507,0.0024405638544077427,0.0019412292834437407
DRT II,0.0035195103289977045,0.00021164021164021165,0.0007716049382716049,,0.004542093588253935,0.012664334820890123,0.004902167052387965,0.0033000897818543594
AVAST II,0.0034047436878347362,,0.0038580246913580245,,5.281504172388296e-05,6.030635628995296e-05,0.0031348621922996003,0.007837713231904103
GAO_19,0.0031752104055087988,,0.0032407407407407406,0.00929432013769363,0.0026407520861941483,0.00042214449402967074,0.008626130864717021,0.005823687850331222
Retron II-A,0.00306044376434583,0.00021164021164021165,0.00015432098765432098,,0.0004225203337910637,,0.0038081211866189775,0.01378272791245056
Hachiman I,0.0029839326702371842,0.00010582010582010582,0.006327160493827161,,0.002535122002746382,0.0022916415390182125,0.005070481800967809,0.020091723083642717
ppl,0.0029839326702371842,,0.0038580246913580245,0.0008605851979345956,0.00142600612654484,0.0010252080569292004,0.005512308015989901,0.0071097522506127
TIR-NLR,0.0022953328232593728,,0.000462962962962963,0.00017211703958691912,0.0008450406675821274,,0.0003155901535872081,0.0006794302492053092
AbiU,0.002218821729150727,,0.0015432098765432098,,0.0022710467941269674,6.030635628995296e-05,0.006606353881758889,0.003639804906457014
Zorya I,0.002104055087987758,0.006666666666666667,0.0012345679012345679,0.002237521514629948,0.0006865955424104785,0.0007839826317693884,0.003955396591626342,0.0035912741743709202
PARIS,0.0020657995409334353,,0.0015432098765432098,0.00034423407917383823,0.0020069715855075524,0.00325654323965746,0.00622764569745424,0.003736866370629201
Retron IV,0.0019127773527161439,0.00010582010582010582,0.0007716049382716049,,0.0008450406675821274,0.00012061271257990592,0.003324216284451925,0.0011890029361092912
Retron XII,0.0019127773527161439,,0.0016975308641975309,0.00034423407917383823,0.0004225203337910637,0.0008442889880593415,0.005049442457395329,0.0037853971027152944
ApeA,0.0019127773527161439,,,,0.0006865955424104785,0.0007236762754794355,0.0009888491479065854,0.0001698575623013273
old,0.001874521805661821,,0.0012345679012345679,,0.0006337805006865955,6.030635628995296e-05,0.0014937933936461183,0.0013345951323675718
PsyrTA,0.001836266258607498,0.06656084656084656,0.0012345679012345679,,0.015316362099926059,0.023278253527921844,0.0003155901535872081,0.00014559219625828057
dsr I,0.001836266258607498,0.0006349206349206349,0.0023148148148148147,,0.001267561001373191,0.0013870461946689182,0.0037660424994740162,0.0018441678192715537
hhe,0.0017597551644988523,,0.0038580246913580245,0.00034423407917383823,0.00010563008344776593,0.00018091906886985888,0.003597727750894172,0.01669457183761617
Tin,0.0017214996174445293,,0.0016975308641975309,,0.00026407520861941483,,0.000820534399326741,0.0007522263473344495
Retron I-B,0.0016832440703902067,,0.00015432098765432098,,0.002746382169641914,0.00042214449402967074,0.0017462655165158846,0.0024750673363907695
DRT I,0.0016832440703902067,0.00010582010582010582,0.0032407407407407406,0.00017211703958691912,0.012992500264075208,0.010131467856712097,0.014601304439301493,0.003615539540413967
Druantia I,0.0016067329762815608,,0.0006172839506172839,,0.003697052920671807,6.030635628995296e-05,0.00351357037660425,0.0010676761058940575
gop_beta_cll,0.0014154552410099465,,,,0.004542093588253935,0.0004824508503196237,0.002650957290132548,0.0005338380529470287
Dpd,0.0014154552410099465,,0.0021604938271604936,0.00034423407917383823,0.0071300306327242,6.030635628995296e-05,0.016305491268672416,0.0071825483487418405
Wadjet I,0.0013389441469013007,,,,,6.030635628995296e-05,,7.279609812914028e-05
AbiL,0.0013006885998469778,0.00031746031746031746,0.004629629629629629,0.0010327022375215145,0.0007394105841343615,0.0012061271257990593,0.0071744161582158635,0.001310329766324525
Retron I-C,0.0011094108645753635,,0.0015432098765432098,0.00034423407917383823,0.001373191084820957,0.09799782897117357,0.004881127708815485,0.0025963941666060034
RexAB,0.0010711553175210406,,0.0010802469135802468,0.004302925989672977,0.0004753353755149467,0.00036183813773971776,0.0025667999158426255,0.006284729805149111
AbiH,0.0010328997704667177,,0.001388888888888889,0.002065404475043029,0.00015844512517164888,0.00018091906886985888,0.002840311382284873,0.0008735531775496833
CBASS II,0.0009946442234123947,0.0005291005291005291,0.002006172839506173,0.00034423407917383823,0.0004753353755149467,6.030635628995296e-05,0.00351357037660425,0.005847953216374269
DprA-PRTase,0.000918133129303749,,0.002006172839506173,0.00034423407917383823,0.0016900813351642548,0.0009045953443492944,0.001325478645066274,0.0013345951323675718
CRISPR I-F,0.0008033664881407804,,0.00015432098765432098,,0.023661138692299567,,0.00467073427309068,
3HP,0.0007268553940321347,,0.0007716049382716049,,0.0006337805006865955,0.0009649017006392474,0.0017252261729434042,0.002911843925165611
SspABCD,0.0006885998469778118,,0.00015432098765432098,,0.00010563008344776593,,0.002146013044393015,0.00038824585668874816
dCTPdeaminase,0.0005738332058148432,0.0021164021164021165,0.0015432098765432098,0.00017211703958691912,0.0019541565437836694,0.0006633699191894826,0.0019356196086682096,0.0017956370871854601
Lamassu I,0.0005355776587605203,,0.0010802469135802468,0.00017211703958691912,0.00026407520861941483,6.030635628995296e-05,0.0020828950136755732,0.0018441678192715537
Shango,0.0005355776587605203,,0.00015432098765432098,,5.281504172388296e-05,,0.000273511466442247,0.00038824585668874816
Viperin,0.0005355776587605203,,0.002623456790123457,,0.00010563008344776593,,0.0004839049021670524,2.426536604304676e-05
Dynamins,0.0004590665646518745,,,0.0006884681583476765,5.281504172388296e-05,,0.00018935409215232484,0.0004610419548178884
RosmerTA,0.0004590665646518745,0.0020105820105820104,0.0006172839506172839,0.00034423407917383823,5.281504172388296e-05,,0.0001683147485798443,0.000606634151076169
Retron V,0.00042081101759755166,0.0005291005291005291,0.0010802469135802468,0.012220309810671256,0.0006865955424104785,0.0004824508503196237,0.00117820324005891,0.0008250224454635899
Helicase-DUF2290,0.00042081101759755166,0.00010582010582010582,0.00015432098765432098,0.00034423407917383823,0.0008450406675821274,0.00018091906886985888,0.0018093835472333263,0.001116206837980151
Retron VI,0.00042081101759755166,,0.00015432098765432098,,0.002429491919298616,0.00018091906886985888,0.00042078687144961075,0.0009706146417218704
Lit,0.0003442999234889059,,,,0.0006337805006865955,,0.0001683147485798443,0.007449467375215355
SoFic,0.0003442999234889059,0.0008465608465608466,0.000462962962962963,,0.005281504172388297,0.0025931733204679775,0.0025878392594151063,0.0005338380529470287
Borvo,0.0003442999234889059,,0.000462962962962963,,0.0006865955424104785,,0.0004628655585945718,0.00041251122273179493
RADAR,0.000306044376434583,,0.00030864197530864197,0.00017211703958691912,0.0011619309179254252,,0.0006311803071744162,0.00038824585668874816
mza,0.000306044376434583,,0.001851851851851852,,,,0.0003366294971596886,0.005217053699255053
Pycsar,0.00026778882938026014,,0.002623456790123457,,0.0006337805006865955,,0.0012833999579213128,0.000994880007764917
Lamassu-Fam,0.00026778882938026014,0.0007407407407407407,0.00030864197530864197,,0.0006865955424104785,0.00012061271257990592,0.00042078687144961075,0.0006308995171192157
AbiQ,0.00022953328232593726,0.004656084656084656,0.00030864197530864197,0.001376936316695353,0.0008978557093060103,0.00012061271257990592,0.001977698295813171,0.0007279609812914028
DUF4238,0.00022953328232593726,,0.0010802469135802468,,0.00015844512517164888,,0.001325478645066274,0.0009463492756788236
cas_adaptation,0.00022953328232593726,,0.006172839506172839,,,6.030635628995296e-05,0.0004418262150220913,0.0031059668535099853
SEFIR,0.00022953328232593726,,,,5.281504172388296e-05,6.030635628995296e-05,0.00039974752787713024,0.0004610419548178884
SspE,0.0001530221882172915,,0.00015432098765432098,,0.00010563008344776593,,0.0006942983378918578,0.00041251122273179493
Lamassu II,0.00011476664116296863,,,,0.00010563008344776593,,0.00010519671786240269,0.0003639804906457014
