rank	System.II	System.I	direction	Sum.System.I	Sum.System.II	CooccurCounts	Pagel.p.value	P.value.System.I.dep	P.value.System.II.dep	Bonferroni	Benjamini.Hochberg
1	Dnd_ABCDE	Dnd_FGH	1	1378	1407	1362	0	0	0	Y	Y
2	PsyrTA	RM IV	1	8297	1382	738	0	6.63672539353291e-169	3.15098467096417e-179	Y	Y
3	Druantia III	Zorya II	1	2518	3391	2151	2.4176163237332e-275	1.38581376920953e-191	2.23522539726885e-266	Y	Y
4	RM IIG	Zorya II	1	2518	3307	2123	3.33561129171466e-253	8.35173684201673e-230	2.83259451303344e-228	Y	Y
5	Mokosh II	RM IV	1	8297	975	882	1.81399766217372e-245	5.72469280303939e-162	1.84503653371061e-143	Y	Y
6	Gabija	tmn	1	2182	4540	1445	1.76909317436979e-185	1.46484787219973e-149	3.78851317754785e-168	Y	Y
7	CBASS I	qatABCD	1	1271	4764	1136	1.09255311412225e-180	2.92034490974722e-131	1.38478316007712e-169	Y	Y
8	Druantia III	RM IIG	1	3307	3391	1926	7.96141123918789e-147	3.75566677766108e-87	1.3930403659815e-136	Y	Y
9	Druantia III	RM IV	1	8297	3391	1353	5.37894055436526e-93	4.43136043405423e-86	2.53452678723413e-21	Y	Y
10	DRT I	Retron IV	1	281	1256	178	1.28624715960835e-87	1.24997560337594e-54	3.2121471562581e-81	Y	Y
11	RM I	RM IV	-1	8297	18714	6613	3.03764689084909e-72	2.68585191651428e-67	5.4512135197811e-21	Y	Y
12	RM IV	Retron I-C	-1	2026	8297	512	1.41161371888203e-61	0.000167832827702995	4.12071116043022e-55	Y	Y
13	CRISPR I-E	cas_adaptation	1	195	17573	102	2.11099835094882e-52	1.50781311833561e-20	3.45544533293577e-51	Y	Y
14	CRISPR I-E	RM IV	1	8297	17573	5151	7.9257545202051e-50	1.53048196005841e-50	0.0379903698893057	Y	Y
15	RM IV	Thoeris I	-1	1541	8297	704	8.30886426042441e-50	0.00932891744585031	9.7070820599919e-48	Y	Y
16	PsyrTA	Retron I-C	1	2026	1382	370	1.0862710821747e-48	1.19525023748413e-10	1.23628813102361e-43	Y	Y
17	AbiQ	PARIS	1	603	203	53	1.81854300212263e-45	1.04498446726389e-43	7.17643366301685e-34	Y	Y
18	RM I	hhe	1	928	18714	811	1.58976461369393e-41	1.2077856809059e-14	3.50515774606839e-35	Y	Y
