"id","#Organism/Name","Strain","Size (Mb)","TotalScore","SequenceScore","Phylogroup","Bioproject","Biosample","Pasteur_MLST","Achtman_MLST","Patric_Serovar","Patric_Pathovar","Patric_MLST","Patric_Other_Typing","Patric_Publication","Patric_Sequencing_Centers","Patric_Sequencing_Platform","Patric_Sequencing_Depth","Patric_Assembly_Method","Patric_Isolation_Source","Patric_Isolation_Comments","Patric_Isolation_Country","Patric_Collection_Date","Patric_Geographic_Location","Patric_Host_Name","Patric_Host_Health","Patric_Disease","Patric_Body_Sample_Site","Patric_Other_Clinical","PCR_Products","Quadruplex","Clermont_Specific","PCR_Phylogroup","Mash_dist_Phylogroup","Mash_screen_Phylogroup","Abram_Concat_Phylogroup","Boolean_Mash_screen_Mash_dist","Boolean_Abram_Phylogroup_PCR_Phylogroup","Boolean_Abram_Phylogroup_Mash_screen","Boolean_Abram_Phylogroup_Mash_dist","Boolean_PCR_Phylogroup_Mash_screen","Boolean_PCR_Phylogroup_Mash_dist"
"GCA_003018255.1","Escherichia coli","2012C-4502","5.0663800000000005","1","1","G","PRJNA218110","SAMN08579579","-","658","O185:H28","STEC","MLST.Escherichia_coli_1.658",,,"CDC","PacBio","127.87x","HGAP v. 3","stool",,,"Sep-12",,"Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, chuA, TspE4.C2, trpAgpC","-, +, -, +","trpAgpC","G","F","F","G","True","True","False","False","False","False"
"GCA_000351685.1","Escherichia coli KTE75","KTE75","5.79783","0.97","0.88","G","PRJNA164907","SAMN00854634","895","738",,,"MLST.Escherichia_coli_1.738,MLST.Escherichia_coli_2.895",,,"Broad Institute","Illumina","203.0x","allpaths v. R42557","faecal",,"Denmark","2010","Denmark","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","F","F","G","True","True","False","False","False","False"
"GCA_001902655.1","Escherichia coli","N11-1317","5.63225","1","1","G","PRJNA352696","SAMN05954725","895","738",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","F","F","G","True","True","False","False","False","False"
"GCA_002317955.1","Escherichia coli","ECLC+05","5.11828","0.87","0.67","G","PRJNA389557","SAMN07450643","896","174",,,"MLST.Escherichia_coli_1.174,MLST.Escherichia_coli_2.896",,,"JCVI","Illumina NextSeq 500","139.79x","SPAdes v. 3.1.1","laying Chicken",,"Thailand","3/8/15","Thailand: Lamphun","Chicken, Gallus gallus",,,,,"ybgD, trpA, trpBA, chuA, TspE4.C2, trpAgpC","-, +, -, +","trpAgpC","G","F","F","G","True","True","False","False","False","False"
"GCA_002193155.1","Escherichia coli","6294","5.04476","0.95","0.78","G","PRJNA387025","SAMN07137398","868","-",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","F","F","G","True","True","False","False","False","False"
"GCA_001268185.1","Escherichia coli","chicken fecal","4.83611","0.93","0.9","G","PRJEB10166","SAMEA3498456","-","3346",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, TspE4.C2, trpAgpC","-, +, -, +","trpAgpC","G","F","F","G","True","True","False","False","False","False"
"GCA_002810135.1","Escherichia coli","K56-78","4.71525","0.95","0.89","G","PRJNA419689","SAMN08095557","-","1235",,,"MLST.Escherichia_coli_1.1235,MLST.Escherichia_coli_2.868",,,"UiT - The Arctic University of Norway","Illumina MiSeq","95.0x","SPAdes v. 3.10.1","urine","isolated from urinary tract infections","United Kingdom","2007/2008","United Kingdom","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","F","F","G","True","True","False","False","False","False"
"GCA_002521265.1","Escherichia coli","MOD1-EC6758","4.96474","0.95","0.78","G","PRJNA230969","SAMN04992589","933","6573",,,"MLST.Escherichia_coli_1.6573",,,"FDA/CFSAN","Illumina NextSeq 500","36.2x","SPAdes v. 3.8.2","intestine",,"Zambia","10-Feb-94","Zambia","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","F","F","G","True","True","False","False","False","False"
"GCA_002518255.1","Escherichia coli","MOD1-EC5768","5.22526","0.91","0.62","G","PRJNA230969","SAMN05468025","926","6608",,,"MLST.Escherichia_coli_1.6608",,,"FDA/CFSAN","Illumina NextSeq 500","48.3x","SPAdes v. 3.8.2","heart",,"United States","28-Aug-82","USA: DE","Chicken, Gallus gallus",,,,,"ybgD, trpA, trpBA, trpAgpC","-, -, -, -","trpAgpC","Unknown","G","F","G","False","False","False","True","False","False"
"GCA_001262905.1","Escherichia coli","CFSAN026806","5.1601","0.91","0.83","G","PRJNA230969","SAMN03455821","385","657",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","F","F","G","True","True","False","False","False","False"
"GCA_003018095.1","Escherichia coli","2014C-3338","4.95862","1","1","G","PRJNA218110","SAMN08579583","385","657","O183:H18","STEC","MLST.Escherichia_coli_1.657,MLST.Escherichia_coli_2.385",,,"CDC","PacBio","44.21x","HGAP v. 3","stool",,,"Nov-13",,"Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","F","F","G","True","True","False","False","False","False"
"GCA_002535335.1","Escherichia coli","MOD1-EC6146","4.89516","0.95","0.81","G","PRJNA230969","SAMN05440271",,,"O149:H18",,"MLST.Escherichia_coli_1.657",,,"FDA/CFSAN","Illumina NextSeq 500","41.7x","SPAdes v. 3.8.2","Cloacae",,"United States","8/1/12","USA:AK","Somateria fischeri",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","F","F","G","True","True","False","False","False","False"
"GCA_002468335.1","Escherichia coli","MOD1-EC6828","5.16821","0.94","0.74","G","PRJNA230969","SAMN04992194","48","117","O24:H10",,"MLST.Escherichia_coli_1.117",,,"FDA/CFSAN","Illumina MiSeq","30.8x","SPAdes v. 3.8.2","lung",,"United States","15-Jan-96","USA: PA","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_003095635.1","Escherichia coli","104","4.97131","1","1","G","PRJNA453925","SAMN08993917","48","117",,,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.48",,,"Zhejiang University School of Medicine","PacBio","50.0x","HGAP v. MAY-2017","chicken","isolated from sick chicken in Liaoning,China","China","12/20/11","China:Liaoning","Chicken, Gallus gallus",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002142355.1","Escherichia coli","ARS-CC9622","5.03017","0.94","0.74","G","PRJNA381151","SAMN06670997","641","117",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_003014805.1","Escherichia coli","LLP5","4.94621","0.95","0.79","G","PRJNA438607","SAMN08723034","539","117",,,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.539",,,"University of Copenhagen","Illumina MiSeq","40.0x","CLC NGS Cell v. 8","skin",,"Denmark","2015","Denmark","Chicken, Gallus gallus","Cellulitis",,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_001021635.1","Escherichia coli APEC O2-211","APEC O2-211","5.112509999999999","0.97","1","G","PRJNA219410","SAMN03761814","641","117",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, trpAgpC","-, -, -, -","trpAgpC","Unknown","G","F","G","False","False","False","True","False","False"
"GCA_000781595.1","Escherichia coli","blood-10-0682","5.29654","0.89","0.65","G","PRJNA248737","SAMN02801872","539","117",,,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.539",,"25373147","University of Washington","Illumina HiSeq","33x","ABYSS v. 1.3.5","blood from patient with bacteremia",,"United States","2010","USA: Pacific Northwest","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002511595.1","Escherichia coli","MOD1-EC6295","4.95681","0.95","0.78","G","PRJNA230969","SAMN05464512","48","117","O130:H49",,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.48",,,"FDA/CFSAN","Illumina MiSeq","103.2x","CLC NGS Cell v. 8.5.1","small intestine",,"United States","9-Jul-87","USA: PA","Dog, Canis lupus familiaris",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_003014795.1","Escherichia coli","AM5019","4.98703","0.9","0.61","G","PRJNA438599","SAMN08723008",,,,,"MLST.Escherichia_coli_1.117",,,"University of Copenhagen","Illumina MiSeq","40.0x","CLC NGS Cell v. 8","marrow",,"Denmark","2015","Denmark","Chicken, Gallus gallus","Cellulitis",,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_003014835.1","Escherichia coli","LLP3","5.01576","0.92","0.77","G","PRJNA438598","SAMN08722739","48","117",,,"MLST.Escherichia_coli_1.117",,,"University of Copenhagen","Illumina MiSeq","40.0x","CLC NGS Cell v. 8","skin",,"Denmark","2015","Denmark","Chicken, Gallus gallus","Cellulitis",,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_003013535.1","Escherichia coli","LLP4","5.03066","0.95","0.81","G","PRJNA438657","SAMN08723133","48","117",,,"MLST.Escherichia_coli_1.117",,,"University of Copenhagen","Illumina MiSeq","40.0x","CLC NGS Cell v. 8","skin",,"Denmark","2015","Denmark","Chicken, Gallus gallus","Cellulitis",,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002475625.1","Escherichia coli","MOD1-EC5011","5.23909","0.94","0.77","G","PRJNA230969","SAMN04279339","641","117",,,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.641",,,"FDA/CFSAN","Illumina NextSeq 500","49.2x","SPAdes v. 3.8.2","feces",,"United States","5-Sep-01","USA: WA","Goose",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002142335.1","Escherichia coli","ARS-CC9635","5.1100900000000005","0.84","0.45","G","PRJNA381151","SAMN06670998",,,,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_002152185.1","Escherichia coli","UCI103","5.6252699999999995","0.93","0.8","G","PRJNA271899","SAMN04521853","48","117",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_002761705.1","Escherichia coli","ABU 65","5.184069999999998","0.9","0.81","G","PRJNA415978","SAMN07839398","48","117",,,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.48",,,"University of Muenster","Illumina MiSeq and 454","195x","SPAdes v. v3.9.0","urinary tract of patient suffering from type-2 diabetes",,"Hungary","2010","Hungary","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
