genome,start,seqid,defense_system,source,end,system,class,defense_system2
GCA_000418345.1,94901,CP005288.1,RM_Type_IV,defensefinder,97634,RM,RM,RM IV
GCA_000418345.1,430694,CP005288.1,Abi2,defensefinder,431668,Abi2,Abi,Abi2
GCA_000418345.1,164825,CP005288.1,RosmerTA,defensefinder,166782,RosmerTA,TA,RosmerTA
GCA_000418345.1,2435821,CP005288.1,Dodola,defensefinder,2437749,Dodola,Unknown,Dodola
GCA_000597965.1,755281,CP007454.1,Abi2,defensefinder,756255,Abi2,Abi,Abi2
GCA_000597965.1,1005577,CP007454.1,RosmerTA,defensefinder,1007534,RosmerTA,TA,RosmerTA
GCA_000626615.3,1939507,CP007539.3,Abi2,defensefinder,1940445,Abi2,Abi,Abi2
GCA_000695215.1,386803,CP007659.1,Abi2,defensefinder,387777,Abi2,Abi,Abi2
GCA_000695215.1,1913619,CP007659.1,Rst_DprA-PPRT,defensefinder,1915647,DprA-PRTase,Unknown,DprA-PRTase
GCA_000695215.1,1913619,CP007659.1,ShosTA,defensefinder,1915647,ShosTA,TA,ShosTA
GCA_000695875.1,420047,CP007690.1,Abi2,defensefinder,421021,Abi2,Abi,Abi2
GCA_000695875.1,2348817,CP007690.1,Dodola,defensefinder,2350745,Dodola,Unknown,Dodola
GCA_000709475.1,74137,CP007447.1,RM_Type_IV,defensefinder,76870,RM,RM,RM IV
GCA_000709475.1,433495,CP007447.1,Abi2,defensefinder,434469,Abi2,Abi,Abi2
GCA_000709475.1,143913,CP007447.1,RosmerTA,defensefinder,145861,RosmerTA,TA,RosmerTA
GCA_000709475.1,2511126,CP007447.1,Dodola,defensefinder,2513054,Dodola,Unknown,Dodola
GCA_000746505.1,414646,CP007499.1,Abi2,defensefinder,415620,Abi2,Abi,Abi2
GCA_000746505.1,2431748,CP007499.1,Dodola,defensefinder,2435008,Dodola,Unknown,Dodola
GCA_000756205.1,40320,CP009361.1,RM_Type_IV,defensefinder,43053,RM,RM,RM IV
GCA_000756205.1,110495,CP009361.1,RosmerTA,defensefinder,112443,RosmerTA,TA,RosmerTA
GCA_000769575.1,96197,CP009681.1,RM_Type_IV,defensefinder,98930,RM,RM,RM IV
GCA_000769575.1,2170162,CP009681.1,Abi2,defensefinder,2171100,Abi2,Abi,Abi2
GCA_000769575.1,167476,CP009681.1,RosmerTA,defensefinder,169433,RosmerTA,TA,RosmerTA
GCA_000769575.1,2498363,CP009681.1,Dodola,defensefinder,2500291,Dodola,Unknown,Dodola
GCA_000772025.1,40262,CP009554.1,RM_Type_IV,defensefinder,42995,RM,RM,RM IV
GCA_000772025.1,110386,CP009554.1,RosmerTA,defensefinder,112334,RosmerTA,TA,RosmerTA
GCA_000815045.1,420155,CP010295.1,Abi2,defensefinder,421129,Abi2,Abi,Abi2
GCA_000815045.1,2348668,CP010295.1,Dodola,defensefinder,2350596,Dodola,Unknown,Dodola
GCA_000815085.1,420155,CP010296.1,Abi2,defensefinder,421129,Abi2,Abi,Abi2
GCA_000815085.1,2348677,CP010296.1,Dodola,defensefinder,2350605,Dodola,Unknown,Dodola
GCA_000815125.1,420155,CP010297.1,Abi2,defensefinder,421129,Abi2,Abi,Abi2
GCA_000815125.1,2348662,CP010297.1,Dodola,defensefinder,2350590,Dodola,Unknown,Dodola
GCA_000815165.1,420154,CP010298.1,Abi2,defensefinder,421128,Abi2,Abi,Abi2
GCA_000815165.1,2348677,CP010298.1,Dodola,defensefinder,2350605,Dodola,Unknown,Dodola
GCA_000815205.1,420155,CP010299.1,Abi2,defensefinder,421129,Abi2,Abi,Abi2
GCA_000815205.1,2348681,CP010299.1,Dodola,defensefinder,2350609,Dodola,Unknown,Dodola
GCA_000815245.1,420155,CP010300.1,Abi2,defensefinder,421129,Abi2,Abi,Abi2
GCA_000815245.1,2348671,CP010300.1,Dodola,defensefinder,2350599,Dodola,Unknown,Dodola
GCA_000934185.1,292821,CP010940.1,Abi2,defensefinder,293795,Abi2,Abi,Abi2
GCA_000934185.1,1754259,CP010940.1,Rst_DprA-PPRT,defensefinder,1756287,DprA-PRTase,Unknown,DprA-PRTase
GCA_000934185.1,1754259,CP010940.1,ShosTA,defensefinder,1756287,ShosTA,TA,ShosTA
GCA_000934205.1,960622,CP010941.1,SoFic,defensefinder,961743,SoFic,Unknown,SoFic
GCA_000934245.1,124,CP010943.1,CBASS_I,defensefinder,672,CBASS,Abi,CBASS I
GCA_000934245.1,82977,CP010943.1,RosmerTA,defensefinder,84925,RosmerTA,TA,RosmerTA
GCA_000934265.1,124,CP010944.1,CBASS_I,defensefinder,672,CBASS,Abi,CBASS I
GCA_000934265.1,82956,CP010944.1,RosmerTA,defensefinder,84904,RosmerTA,TA,RosmerTA
GCA_000934925.1,421696,CP010952.1,Abi2,defensefinder,422670,Abi2,Abi,Abi2
GCA_000934925.1,117833,CP010952.1,RosmerTA,defensefinder,119781,RosmerTA,TA,RosmerTA
GCA_000953255.1,40290,LN626917.1,RM_Type_IV,defensefinder,43023,RM,RM,RM IV
GCA_000953255.1,1487930,LN626917.1,Abi2,defensefinder,1488829,Abi2,Abi,Abi2
GCA_000953255.1,110439,LN626917.1,RosmerTA,defensefinder,112387,RosmerTA,TA,RosmerTA
GCA_000969225.1,406710,CP011147.1,Abi2,defensefinder,407684,Abi2,Abi,Abi2
GCA_000969225.1,155726,CP011147.1,RosmerTA,defensefinder,157683,RosmerTA,TA,RosmerTA
GCA_001018645.2,370390,CP026964.1,Abi2,defensefinder,371328,Abi2,Abi,Abi2
GCA_001018655.2,507945,CP026962.1,Abi2,defensefinder,508883,Abi2,Abi,Abi2
GCA_001018685.2,1267334,CP026076.1,Abi2,defensefinder,1268272,Abi2,Abi,Abi2
GCA_001018725.2,1247946,CP026961.1,Abi2,defensefinder,1248884,Abi2,Abi,Abi2
GCA_001018735.2,1637287,CP026080.1,Abi2,defensefinder,1638225,Abi2,Abi,Abi2
GCA_001018775.2,1225076,CP026063.1,Abi2,defensefinder,1226014,Abi2,Abi,Abi2
GCA_001018775.2,973806,CP026063.1,RosmerTA,defensefinder,975754,RosmerTA,TA,RosmerTA
GCA_001018805.2,2528265,CP026960.1,Abi2,defensefinder,2529164,Abi2,Abi,Abi2
GCA_001018805.2,2544122,CP026960.1,Abi2,defensefinder,2545060,Abi2,Abi,Abi2
GCA_001018835.2,2388020,CP026064.1,Rst_DprA-PPRT,defensefinder,2390048,DprA-PRTase,Unknown,DprA-PRTase
GCA_001018835.2,1070483,CP026064.1,Abi2,defensefinder,1071421,Abi2,Abi,Abi2
GCA_001018835.2,2388020,CP026064.1,ShosTA,defensefinder,2390048,ShosTA,TA,ShosTA
GCA_001018845.2,851041,CP026067.1,Abi2,defensefinder,851979,Abi2,Abi,Abi2
GCA_001018845.2,603638,CP026067.1,RosmerTA,defensefinder,605586,RosmerTA,TA,RosmerTA
GCA_001018915.2,668786,CP026070.1,Abi2,defensefinder,669724,Abi2,Abi,Abi2
GCA_001018975.2,2209523,CP026071.1,RM_Type_IV,defensefinder,2212256,RM,RM,RM IV
GCA_001018975.2,2140086,CP026071.1,RosmerTA,defensefinder,2142034,RosmerTA,TA,RosmerTA
GCA_001019125.2,1740562,CP026957.1,Abi2,defensefinder,1741500,Abi2,Abi,Abi2
GCA_001019205.2,1703518,CP026953.1,Abi2,defensefinder,1704456,Abi2,Abi,Abi2
GCA_001019205.2,1407817,CP026953.1,RosmerTA,defensefinder,1409765,RosmerTA,TA,RosmerTA
GCA_001019255.2,268981,CP026968.1,Abi2,defensefinder,269919,Abi2,Abi,Abi2
GCA_001019255.2,2813298,CP026968.1,RosmerTA,defensefinder,2815246,RosmerTA,TA,RosmerTA
GCA_001019275.2,1106116,CP026077.1,Abi2,defensefinder,1107054,Abi2,Abi,Abi2
GCA_001019305.2,459200,CP026079.1,Abi2,defensefinder,460138,Abi2,Abi,Abi2
GCA_001019305.2,709332,CP026079.1,RosmerTA,defensefinder,711280,RosmerTA,TA,RosmerTA
GCA_001019395.2,640668,CP026066.1,RM_Type_IV,defensefinder,643401,RM,RM,RM IV
GCA_001019395.2,710644,CP026066.1,RosmerTA,defensefinder,712592,RosmerTA,TA,RosmerTA
GCA_001019415.2,2564146,CP026068.1,Abi2,defensefinder,2565084,Abi2,Abi,Abi2
GCA_001019435.2,948102,CP026069.1,Abi2,defensefinder,949040,Abi2,Abi,Abi2
GCA_001019435.2,696961,CP026069.1,RosmerTA,defensefinder,698909,RosmerTA,TA,RosmerTA
GCA_001019485.2,1585807,CP026072.1,Bunzi,defensefinder,1589302,Bunzi,Unknown,Bunzi
GCA_001019485.2,1231419,CP026072.1,Abi2,defensefinder,1232357,Abi2,Abi,Abi2
GCA_001019485.2,2168256,CP026072.1,Dodola,defensefinder,2171468,Dodola,Unknown,Dodola
GCA_001019495.2,790428,CP026958.1,Abi2,defensefinder,791366,Abi2,Abi,Abi2
GCA_001019495.2,1040559,CP026958.1,RosmerTA,defensefinder,1042507,RosmerTA,TA,RosmerTA
GCA_001019535.2,1729152,CP026073.1,Abi2,defensefinder,1730090,Abi2,Abi,Abi2
GCA_001019575.2,1759291,CP026074.1,Abi2,defensefinder,1760229,Abi2,Abi,Abi2
GCA_001019575.2,1491397,CP026074.1,RosmerTA,defensefinder,1493345,RosmerTA,TA,RosmerTA
GCA_001021875.1,423095,CP007670.1,Abi2,defensefinder,424069,Abi2,Abi,Abi2
GCA_001021875.1,2373495,CP007670.1,Dodola,defensefinder,2375423,Dodola,Unknown,Dodola
GCA_001021895.1,393356,CP007674.1,Abi2,defensefinder,394330,Abi2,Abi,Abi2
GCA_001021895.1,2314263,CP007674.1,Dodola,defensefinder,2316191,Dodola,Unknown,Dodola
GCA_001027045.1,359371,CP011528.1,Abi2,defensefinder,360345,Abi2,Abi,Abi2
GCA_001027045.1,107198,CP011528.1,RosmerTA,defensefinder,109146,RosmerTA,TA,RosmerTA
GCA_001027105.1,365728,CP011526.1,Abi2,defensefinder,366702,Abi2,Abi,Abi2
GCA_001027105.1,2230090,CP011526.1,Dodola,defensefinder,2232018,Dodola,Unknown,Dodola
GCA_001045795.2,409805,CP007672.1,Abi2,defensefinder,410779,Abi2,Abi,Abi2
GCA_001045795.2,2317540,CP007672.1,Dodola,defensefinder,2319468,Dodola,Unknown,Dodola
GCA_001045995.2,385889,CP007676.1,Abi2,defensefinder,386863,Abi2,Abi,Abi2
GCA_001045995.2,2318207,CP007676.1,Dodola,defensefinder,2320066,Dodola,Unknown,Dodola
GCA_001046095.2,410282,CP007657.1,Abi2,defensefinder,411256,Abi2,Abi,Abi2
GCA_001046095.2,2307621,CP007657.1,Dodola,defensefinder,2309549,Dodola,Unknown,Dodola
GCA_001183705.3,2443600,CP012119.2,Abi2,defensefinder,2444538,Abi2,Abi,Abi2
GCA_001183705.3,1500557,CP012119.2,Dodola,defensefinder,1502437,Dodola,Unknown,Dodola
GCA_001183725.2,20203,CP012121.2,RM_Type_IV,defensefinder,20808,RM,RM,RM IV
GCA_001183725.2,950850,CP012120.2,Abi2,defensefinder,951788,Abi2,Abi,Abi2
GCA_001183725.2,1894113,CP012120.2,Dodola,defensefinder,1895993,Dodola,Unknown,Dodola
GCA_001278745.1,1469,CP012594.1,RM_Type_IV,defensefinder,2074,RM,RM,RM IV
GCA_001278745.1,417912,CP012593.1,Abi2,defensefinder,418886,Abi2,Abi,Abi2
GCA_001278745.1,109331,CP012593.1,RosmerTA,defensefinder,111279,RosmerTA,TA,RosmerTA
GCA_001281145.1,361996,CP010890.1,Abi2,defensefinder,362970,Abi2,Abi,Abi2
GCA_001281145.1,109331,CP010890.1,RosmerTA,defensefinder,111279,RosmerTA,TA,RosmerTA
GCA_001307235.1,2091,CP012757.1,RM_Type_IV,defensefinder,2696,RM,RM,RM IV
GCA_001444345.1,2671254,CP013137.1,Abi2,defensefinder,2672228,Abi2,Abi,Abi2
GCA_001444345.1,2410004,CP013137.1,RosmerTA,defensefinder,2411952,RosmerTA,TA,RosmerTA
GCA_001456215.1,396474,CP009828.1,Abi2,defensefinder,397448,Abi2,Abi,Abi2
GCA_001456215.1,152134,CP009828.1,RosmerTA,defensefinder,154082,RosmerTA,TA,RosmerTA
GCA_001465635.1,158106,CP013616.1,RosmerTA,defensefinder,160054,RosmerTA,TA,RosmerTA
GCA_001465755.1,49901,CP013621.1,RM_Type_IV,defensefinder,51397,RM,RM,RM IV
GCA_001465755.1,69624,CP013621.1,AbiH,defensefinder,70496,AbiH,Abi,AbiH
GCA_001465755.1,147916,CP013621.1,RosmerTA,defensefinder,149864,RosmerTA,TA,RosmerTA
GCA_001471715.2,1849193,CP027101.1,Abi2,defensefinder,1850131,Abi2,Abi,Abi2
GCA_001515665.1,94655,CP012015.1,RM_Type_IV,defensefinder,96355,RM,RM,RM IV
GCA_001515665.1,96348,CP012015.1,RM_Type_IV,defensefinder,97388,RM,RM,RM IV
GCA_001515665.1,430459,CP012015.1,Abi2,defensefinder,431433,Abi2,Abi,Abi2
GCA_001515665.1,2441499,CP012015.1,Dodola,defensefinder,2444759,Dodola,Unknown,Dodola
GCA_001515685.1,94888,CP012013.1,RM_Type_IV,defensefinder,97621,RM,RM,RM IV
GCA_001515685.1,431502,CP012013.1,Abi2,defensefinder,432440,Abi2,Abi,Abi2
GCA_001515685.1,164835,CP012013.1,RosmerTA,defensefinder,166792,RosmerTA,TA,RosmerTA
GCA_001515685.1,2450992,CP012013.1,Dodola,defensefinder,2452920,Dodola,Unknown,Dodola
GCA_001515705.1,94652,CP012018.1,RM_Type_IV,defensefinder,97385,RM,RM,RM IV
GCA_001515705.1,430374,CP012018.1,Abi2,defensefinder,431312,Abi2,Abi,Abi2
GCA_001515705.1,164600,CP012018.1,RosmerTA,defensefinder,166557,RosmerTA,TA,RosmerTA
GCA_001515705.1,2440686,CP012018.1,Dodola,defensefinder,2443946,Dodola,Unknown,Dodola
GCA_001515745.1,96247,CP012011.1,RM_Type_IV,defensefinder,98980,RM,RM,RM IV
GCA_001515745.1,476502,CP012011.1,Abi2,defensefinder,477440,Abi2,Abi,Abi2
GCA_001515745.1,2498673,CP012011.1,Dodola,defensefinder,2500601,Dodola,Unknown,Dodola
GCA_001515745.1,167527,CP012011.1,RosmerTA,defensefinder,169484,RosmerTA,TA,RosmerTA
GCA_001515765.1,94886,CP012012.1,RM_Type_IV,defensefinder,96586,RM,RM,RM IV
GCA_001515765.1,96579,CP012012.1,RM_Type_IV,defensefinder,97619,RM,RM,RM IV
GCA_001515765.1,430665,CP012012.1,Abi2,defensefinder,431639,Abi2,Abi,Abi2
GCA_001515765.1,1282898,CP012012.1,ShosTA,defensefinder,1341941,ShosTA,TA,ShosTA
GCA_001515765.1,2431617,CP012012.1,Dodola,defensefinder,2432684,Dodola,Unknown,Dodola
