start,end,defense_system,genome,seqid,source,system,class,original,defense_system2
6201323,6203794,RM_Type_IV,GCA_000750905.1,HG974234.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2475828,2480408,Lamassu-Fam,GCA_000763245.3,CP021380.2,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3019397,3023939,Lamassu-Fam,GCA_000763245.3,CP021380.2,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
779636,782092,RM_Type_IV,GCA_000816985.1,CP007399.1,defensefinder,RM,RM,RM_Type_IV,RM IV
6588021,6588287,Shedu,GCA_000816985.1,CP007399.1,defensefinder,Shedu,Unknown,Shedu,Shedu
782092,788368,Mokosh_TypeI,GCA_000816985.1,CP007399.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
5683678,5688666,RM_Type_IIG,GCA_000829255.1,AP014646.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
5683662,5688650,RM_Type_IIG,GCA_000829275.1,AP014622.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
1677373,1678680,RM_Type_IV,GCA_000829885.1,CP010555.1,defensefinder,RM,RM,RM_Type_IV,RM IV
5959627,5970349,PrrC,GCA_000988505.1,CP011369.1,defensefinder,PrrC,Abi,PrrC,PrrC
5156413,5157282,Lit,GCA_000988505.1,CP011369.1,defensefinder,Lit,Abi,Lit,Lit
4787827,4790283,RM_Type_IV,GCA_001293085.1,CP012679.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4790283,4796559,Mokosh_TypeI,GCA_001293085.1,CP012679.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2398182,2399657,RM_Type_IV,GCA_001457615.1,LN831024.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4055391,4059448,Dynamins,GCA_001482325.1,CP013696.1,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
5830874,5835346,RM_Type_IIG,GCA_001515845.2,CP008865.2,defensefinder,RM,RM,RM_Type_IIG,RM IIG
5710210,5714682,RM_Type_IIG,GCA_001515915.2,CP008866.2,defensefinder,RM,RM,RM_Type_IIG,RM IIG
2647287,2649557,RM_Type_IV,GCA_001516165.2,CP008869.2,defensefinder,RM,RM,RM_Type_IV,RM IV
3774377,3775231,RM_Type_IV,GCA_001516185.2,CP008870.2,defensefinder,RM,RM,RM_Type_IV,RM IV
5756821,5758587,dCTPdeaminase,GCA_001516185.2,CP008870.2,defensefinder,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
3771521,3774260,DarTG,GCA_001516185.2,CP008870.2,defensefinder,darTG,TA,DarTG,DarTG
1047771,1049741,RM_Type_IV,GCA_001516225.2,CP008864.2,defensefinder,RM,RM,RM_Type_IV,RM IV
3537462,3540909,Lamassu-Fam,GCA_001516225.2,CP008864.2,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
284646,285533,SEFIR,GCA_001516245.2,CP008856.2,defensefinder,SEFIR,Unknown,SEFIR,SEFIR
2445982,2447304,RM_Type_IV,GCA_001516245.2,CP008856.2,defensefinder,RM,RM,RM_Type_IV,RM IV
4702882,4705338,RM_Type_IV,GCA_001516245.2,CP008856.2,defensefinder,RM,RM,RM_Type_IV,RM IV
2444738,2445985,RM_Type_IV,GCA_001516245.2,CP008856.2,defensefinder,RM,RM,RM_Type_IV,RM IV
1071823,1074967,Gabija,GCA_001516245.2,CP008856.2,defensefinder,Gabija,Unknown,Gabija,Gabija
3942023,3943861,dCTPdeaminase,GCA_001516245.2,CP008856.2,defensefinder,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
4705338,4711614,Mokosh_TypeI,GCA_001516245.2,CP008856.2,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
163205,167361,RM_Type_IV,GCA_001516265.1,CP008857.1,defensefinder,RM,RM,RM_Type_IV,RM IV
5741711,5745371,Lamassu-Fam,GCA_001516265.1,CP008857.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
2404255,2407454,Bunzi,GCA_001516305.2,CP008859.2,defensefinder,Bunzi,Unknown,Bunzi,Bunzi
2411396,2416063,RM_Type_IIG,GCA_001516305.2,CP008859.2,defensefinder,RM,RM,RM_Type_IIG,RM IIG
5870649,5874266,Lamassu-Fam,GCA_001516305.2,CP008859.2,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
996244,997548,RM_Type_IV,GCA_001516325.2,CP008860.2,defensefinder,RM,RM,RM_Type_IV,RM IV
4751861,4754317,RM_Type_IV,GCA_001516325.2,CP008860.2,defensefinder,RM,RM,RM_Type_IV,RM IV
994244,996247,RM_Type_IV,GCA_001516325.2,CP008860.2,defensefinder,RM,RM,RM_Type_IV,RM IV
4754317,4760593,Mokosh_TypeI,GCA_001516325.2,CP008860.2,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2625424,2628489,RM_Type_IIG,GCA_001516345.1,CP008861.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
2631042,2634177,Gabija,GCA_001516345.1,CP008861.1,defensefinder,Gabija,Unknown,Gabija,Gabija
1049373,1051343,RM_Type_IV,GCA_001516365.2,CP008862.2,defensefinder,RM,RM,RM_Type_IV,RM IV
5881359,5882357,Abi2,GCA_001542795.2,CP008872.2,defensefinder,Abi2,Abi,Abi2,Abi2
2464760,2469232,RM_Type_IIG,GCA_001542835.1,CP008873.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
5572831,5573466,RM_Type_IV,GCA_001548135.1,AP014839.2,defensefinder,RM,RM,RM_Type_IV,RM IV
5573472,5575675,ShosTA,GCA_001548135.1,AP014839.2,defensefinder,ShosTA,TA,ShosTA,ShosTA
395137,397581,RM_Type_IV,GCA_001548335.1,AP017302.1,defensefinder,RM,RM,RM_Type_IV,RM IV
759120,762260,RM_Type_IIG,GCA_001548335.1,AP017302.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
5033930,5036938,RM_Type_IIG,GCA_001548335.1,AP017302.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
6406044,6408153,RM_Type_II,GCA_001548335.1,AP017302.1,defensefinder,RM,RM,RM_Type_II,RM II
1161497,1165157,Lamassu-Fam,GCA_001548335.1,AP017302.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
2576629,2580566,Lamassu-Fam,GCA_001548335.1,AP017302.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
388834,395137,Mokosh_TypeI,GCA_001548335.1,AP017302.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
581341,583107,Lit,GCA_001594325.2,CP008858.2,defensefinder,Lit,Abi,Lit,Lit
1621362,1623818,RM_Type_IV,GCA_001618925.1,CP015117.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2532510,2536982,RM_Type_IIG,GCA_001618925.1,CP015117.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
1623818,1630094,Mokosh_TypeI,GCA_001618925.1,CP015117.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
5830222,5834743,Lamassu-Fam,GCA_001632245.1,CP015377.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1502585,1505041,RM_Type_IV,GCA_001679685.1,CP016214.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4423870,4425400,ShosTA,GCA_001679685.1,CP016214.1,defensefinder,ShosTA,TA,ShosTA,ShosTA
1505041,1511317,Mokosh_TypeI,GCA_001679685.1,CP016214.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
4874886,4877342,RM_Type_IV,GCA_001687285.1,CP011857.1,defensefinder,RM,RM,RM_Type_IV,RM IV
5773414,5777886,RM_Type_IIG,GCA_001687285.1,CP011857.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
4877342,4883618,Mokosh_TypeI,GCA_001687285.1,CP011857.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
4860735,4863191,RM_Type_IV,GCA_001721745.1,CP012585.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4863191,4869467,Mokosh_TypeI,GCA_001721745.1,CP012585.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
4859908,4862364,RM_Type_IV,GCA_001721765.1,CP012578.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4862364,4868640,Mokosh_TypeI,GCA_001721765.1,CP012578.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
4862389,4864845,RM_Type_IV,GCA_001721785.1,CP012580.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4864845,4871121,Mokosh_TypeI,GCA_001721785.1,CP012580.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
4898887,4901343,RM_Type_IV,GCA_001721805.1,CP012581.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4901343,4907619,Mokosh_TypeI,GCA_001721805.1,CP012581.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
4898893,4901349,RM_Type_IV,GCA_001721825.1,CP012583.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4901349,4907625,Mokosh_TypeI,GCA_001721825.1,CP012583.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
4900118,4902574,RM_Type_IV,GCA_001721845.1,CP012584.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4902574,4908850,Mokosh_TypeI,GCA_001721845.1,CP012584.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
640224,642731,RM_Type_IV,GCA_001722005.2,CP017099.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4898904,4901360,RM_Type_IV,GCA_001722025.1,CP012579.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4901360,4907636,Mokosh_TypeI,GCA_001722025.1,CP012579.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
4856021,4858477,RM_Type_IV,GCA_001722045.1,CP012582.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4858477,4864753,Mokosh_TypeI,GCA_001722045.1,CP012582.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
3393013,3395601,Gabija,GCA_001729505.1,CP017149.1,defensefinder,Gabija,Unknown,Gabija,Gabija
5338641,5343440,Tiamat,GCA_001750705.1,CP017353.1,defensefinder,Tiamat,Unknown,Tiamat,Tiamat
5328103,5330376,RM_Type_IV,GCA_001750705.1,CP017353.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2476219,2480799,Lamassu-Fam,GCA_001792835.1,CP015001.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
2921936,2926478,Lamassu-Fam,GCA_001792835.1,CP015001.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
5167426,5170062,RM_Type_IV,GCA_001792855.1,CP015002.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2508200,2512780,Lamassu-Fam,GCA_001792855.1,CP015002.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3015550,3020092,Lamassu-Fam,GCA_001792855.1,CP015002.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3778359,3782562,Gabija,GCA_001792855.1,CP015002.1,defensefinder,Gabija,Unknown,Gabija,Gabija
5365886,5368522,RM_Type_IV,GCA_001792875.1,CP015003.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2643193,2647773,Lamassu-Fam,GCA_001792875.1,CP015003.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3096119,3100661,Lamassu-Fam,GCA_001792875.1,CP015003.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3889103,3893306,Gabija,GCA_001792875.1,CP015003.1,defensefinder,Gabija,Unknown,Gabija,Gabija
5230693,5233329,RM_Type_IV,GCA_001870265.1,CP014999.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2506948,2511528,Lamassu-Fam,GCA_001870265.1,CP014999.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
2996787,3001329,Lamassu-Fam,GCA_001870265.1,CP014999.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3752419,3756622,Gabija,GCA_001870265.1,CP014999.1,defensefinder,Gabija,Unknown,Gabija,Gabija
4782853,4797158,RM_Type_I,GCA_001874465.1,CP017969.1,defensefinder,RM,RM,RM_Type_I,RM I
994972,996502,ShosTA,GCA_001874465.1,CP017969.1,defensefinder,ShosTA,TA,ShosTA,ShosTA
4626038,4628909,RM_Type_II,GCA_001879525.1,CP013113.1,defensefinder,RM,RM,RM_Type_II,RM II
5459384,5463875,RM_Type_II,GCA_001879525.1,CP013113.1,defensefinder,RM,RM,RM_Type_II,RM II
771597,773437,RosmerTA,GCA_002075065.1,CP014866.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
5911565,5916334,RM_Type_IIG,GCA_002085755.1,CP020603.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
1251354,1252884,ShosTA,GCA_002104595.1,CP020704.1,defensefinder,ShosTA,TA,ShosTA,ShosTA
1251351,1252881,ShosTA,GCA_002104615.1,CP020703.1,defensefinder,ShosTA,TA,ShosTA,ShosTA
