start,defense_system,source,end,genome,seqid,system,class,original,defense_system2
4252158,RM_Type_IV,defensefinder,4252511,GCA_016599875.1,CP067086.1,RM,RM,RM_Type_IV,RM IV
2654674,Septu,defensefinder,2657060,GCA_019978365.1,AP024703.1,Septu,Unknown,Septu,Septu
722856,AbiH,defensefinder,723758,GCA_000755805.1,CP007787.1,AbiH,Abi,AbiH,AbiH
2788761,AbiEii,defensefinder,2790705,GCA_000974835.2,CP011301.1,AbiE,Abi,AbiEii,AbiEii
1853016,AbiEii,defensefinder,1854963,GCA_001718395.1,CP013375.1,AbiE,Abi,AbiEii,AbiEii
1072056,Lamassu-Fam,defensefinder,1075755,GCA_001718835.1,CP013444.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
91271,Dsr_I,defensefinder,94822,GCA_002209085.2,CP022081.2,dsr,Abi,Dsr_I,dsr I
26223,Dsr_I,defensefinder,29774,GCA_002407525.3,CP023519.1,dsr,Abi,Dsr_I,dsr I
1820562,AbiEii,defensefinder,1822509,GCA_009586235.1,CP045235.1,AbiE,Abi,AbiEii,AbiEii
460826,Lamassu-Fam,defensefinder,464269,GCA_009586235.1,CP045237.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
594249,Abi2,defensefinder,594905,GCA_014854795.1,CP032011.1,Abi2,Abi,Abi2,Abi2
218409,RM_Type_IV,defensefinder,219272,GCA_001267515.1,CP011997.1,RM,RM,RM_Type_IV,RM IV
342685,AbiEii,defensefinder,344657,GCA_001267515.1,CP011998.1,AbiE,Abi,AbiEii,AbiEii
12391,RM_Type_IV,defensefinder,15135,GCA_001586135.1,CP014702.1,RM,RM,RM_Type_IV,RM IV
25332,RM_Type_IV,defensefinder,26186,GCA_001586135.1,CP014702.1,RM,RM,RM_Type_IV,RM IV
405337,AbiEii,defensefinder,407303,GCA_001586135.1,CP014703.1,AbiE,Abi,AbiEii,AbiEii
1699888,AbiEii,defensefinder,1701833,GCA_001587135.1,CP012940.1,AbiE,Abi,AbiEii,AbiEii
1716593,AbiEii,defensefinder,1718538,GCA_001587155.1,CP012944.1,AbiE,Abi,AbiEii,AbiEii
108657,AbiEii,defensefinder,110629,GCA_001663415.1,CP015851.1,AbiE,Abi,AbiEii,AbiEii
196388,AbiEii,defensefinder,197562,GCA_001663415.1,CP015851.1,AbiE,Abi,AbiEii,AbiEii
1269922,AbiEii,defensefinder,1271864,GCA_001708525.1,CP016905.1,AbiE,Abi,AbiEii,AbiEii
2988741,Dazbog,defensefinder,2990837,GCA_001891105.1,CP015115.1,Dazbog,Unknown,Dazbog,Dazbog
433295,AbiEii,defensefinder,435267,GCA_001891105.1,CP015116.1,AbiE,Abi,AbiEii,AbiEii
590567,RosmerTA,defensefinder,592387,GCA_001891105.1,CP015115.1,RosmerTA,TA,RosmerTA,RosmerTA
1209155,RM_Type_II,defensefinder,1212350,GCA_002162015.1,CP021448.1,RM,RM,RM_Type_II,RM II
1793548,AbiEii,defensefinder,1795520,GCA_002162015.1,CP021449.1,AbiE,Abi,AbiEii,AbiEii
1506683,RM_Type_IV,defensefinder,1507546,GCA_002220465.1,CP016914.1,RM,RM,RM_Type_IV,RM IV
2658323,Lamassu-Fam,defensefinder,2661989,GCA_002220465.1,CP016914.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
891951,AbiEii,defensefinder,893923,GCA_002220465.1,CP016915.1,AbiE,Abi,AbiEii,AbiEii
15319,RM_Type_IV,defensefinder,16182,GCA_002894285.1,CP025985.1,RM,RM,RM_Type_IV,RM IV
3214079,dCTPdeaminase,defensefinder,3215713,GCA_002894285.1,CP025985.1,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
30503,AbiEii,defensefinder,32475,GCA_002894285.1,CP025986.1,AbiE,Abi,AbiEii,AbiEii
668264,RosmerTA,defensefinder,669984,GCA_002894285.1,CP025985.1,RosmerTA,TA,RosmerTA,RosmerTA
12391,RM_Type_IV,defensefinder,15135,GCA_003515145.1,CP022770.1,RM,RM,RM_Type_IV,RM IV
25332,RM_Type_IV,defensefinder,26186,GCA_003515145.1,CP022770.1,RM,RM,RM_Type_IV,RM IV
405349,AbiEii,defensefinder,407315,GCA_003515145.1,CP022771.1,AbiE,Abi,AbiEii,AbiEii
12391,RM_Type_IV,defensefinder,15135,GCA_003515165.1,CP022776.1,RM,RM,RM_Type_IV,RM IV
25332,RM_Type_IV,defensefinder,26186,GCA_003515165.1,CP022776.1,RM,RM,RM_Type_IV,RM IV
405370,AbiEii,defensefinder,407336,GCA_003515165.1,CP022777.1,AbiE,Abi,AbiEii,AbiEii
2506997,SEFIR,defensefinder,2507848,GCA_003515185.1,CP022788.1,SEFIR,Unknown,SEFIR,SEFIR
32954,RM_Type_IV,defensefinder,33808,GCA_003515185.1,CP022788.1,RM,RM,RM_Type_IV,RM IV
400761,AbiEii,defensefinder,402727,GCA_003515185.1,CP022789.1,AbiE,Abi,AbiEii,AbiEii
1142619,RM_Type_III,defensefinder,1147037,GCA_003515205.1,CP022790.1,RM,RM,RM_Type_III,RM III
169644,AbiEii,defensefinder,171616,GCA_003515205.1,CP022791.1,AbiE,Abi,AbiEii,AbiEii
1908770,Mokosh_TypeI,defensefinder,1916866,GCA_003515205.1,CP022791.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
56686,RM_Type_IV,defensefinder,57549,GCA_003515225.1,CP022794.1,RM,RM,RM_Type_IV,RM IV
276983,AbiEii,defensefinder,278955,GCA_003515225.1,CP022795.1,AbiE,Abi,AbiEii,AbiEii
282874,AbiEii,defensefinder,284846,GCA_003515245.1,CP022756.1,AbiE,Abi,AbiEii,AbiEii
100606,Mokosh_TypeI,defensefinder,99242,GCA_003515245.1,CP022756.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2506981,SEFIR,defensefinder,2507832,GCA_003515265.1,CP022759.1,SEFIR,Unknown,SEFIR,SEFIR
32954,RM_Type_IV,defensefinder,33808,GCA_003515265.1,CP022759.1,RM,RM,RM_Type_IV,RM IV
400771,AbiEii,defensefinder,402737,GCA_003515265.1,CP022760.1,AbiE,Abi,AbiEii,AbiEii
279868,AbiEii,defensefinder,281840,GCA_003515285.1,CP022766.1,AbiE,Abi,AbiEii,AbiEii
